time,alive_grass,alive_herbivores,alive_predators,herbivore_hp_pool,predator_hp_pool,predator_mana,herbivore_mana,total_creature_mana,corpse_mana,field_mana,attack_gain,magic_gain,grass_gain,field_gain,corpse_gain,mana_spent,death_release,expected_phase_ups
113.0,100,0,10,0.0,550.0,3812.5000000000005,0.0,3812.5000000000005,0.0,2870.0,1050.0,0.0,0.0,1531.0,0.0,367.5000000000001,3401.0,0.5499999999999999
114.0,100,0,10,0.0,550.0,3822.5000000000005,0.0,3822.5000000000005,0.0,2860.0,1050.0,0.0,0.0,1541.0,0.0,367.5000000000001,3401.0,0.5499999999999999
115.0,100,0,10,0.0,550.0,3832.5000000000005,0.0,3832.5000000000005,0.0,2850.0,1050.0,0.0,0.0,1551.0,0.0,367.5000000000001,3401.0,0.5499999999999999
116.0,100,0,10,0.0,550.0,3842.5000000000005,0.0,3842.5000000000005,0.0,2840.0,1050.0,0.0,0.0,1561.0,0.0,367.5000000000001,3401.0,0.5499999999999999
117.0,100,0,10,0.0,550.0,3852.5000000000005,0.0,3852.5000000000005,0.0,2830.0,1050.0,0.0,0.0,1571.0,0.0,367.5000000000001,3401.0,0.5499999999999999
118.0,100,0,10,0.0,550.0,3862.5000000000005,0.0,3862.5000000000005,0.0,2820.0,1050.0,0.0,0.0,1581.0,0.0,367.5000000000001,3401.0,0.5499999999999999
119.0,100,0,10,0.0,550.0,3872.5000000000005,0.0,3872.5000000000005,0.0,2810.0,1050.0,0.0,0.0,1591.0,0.0,367.5000000000001,3401.0,0.5499999999999999
120.0,100,0,10,0.0,550.0,3882.5000000000005,0.0,3882.5000000000005,0.0,2800.0,1050.0,0.0,0.0,1601.0,0.0,367.5000000000001,3401.0,0.6
121.0,100,0,10,0.0,550.0,3892.5000000000005,0.0,3892.5000000000005,0.0,2790.0,1050.0,0.0,0.0,1611.0,0.0,367.5000000000001,3401.0,0.6
122.0,100,0,10,0.0,550.0,3902.5000000000005,0.0,3902.5000000000005,0.0,2780.0,1050.0,0.0,0.0,1621.0,0.0,367.5000000000001,3401.0,0.6
123.0,100,0,10,0.0,550.0,3912.5000000000005,0.0,3912.5000000000005,0.0,2770.0,1050.0,0.0,0.0,1631.0,0.0,367.5000000000001,3401.0,0.6
124.0,100,0,10,0.0,550.0,3922.5000000000005,0.0,3922.5000000000005,0.0,2760.0,1050.0,0.0,0.0,1641.0,0.0,367.5000000000001,3401.0,0.6
125.0,100,0,10,0.0,550.0,3932.5000000000005,0.0,3932.5000000000005,0.0,2750.0,1050.0,0.0,0.0,1651.0,0.0,367.5000000000001,3401.0,0.6
126.0,100,0,10,0.0,550.0,3942.5000000000005,0.0,3942.5000000000005,0.0,2740.0,1050.0,0.0,0.0,1661.0,0.0,367.5000000000001,3401.0,0.6
127.0,100,0,10,0.0,550.0,3952.5000000000005,0.0,3952.5000000000005,0.0,2730.0,1050.0,0.0,0.0,1671.0,0.0,367.5000000000001,3401.0,0.6
128.0,100,0,10,0.0,550.0,3962.5000000000005,0.0,3962.5000000000005,0.0,2720.0,1050.0,0.0,0.0,1681.0,0.0,367.5000000000001,3401.0,0.6
129.0,100,0,10,0.0,550.0,3972.5000000000005,0.0,3972.5000000000005,0.0,2710.0,1050.0,0.0,0.0,1691.0,0.0,367.5000000000001,3401.0,0.6
130.0,100,0,10,0.0,550.0,3982.5000000000005,0.0,3982.5000000000005,0.0,2700.0,1050.0,0.0,0.0,1701.0,0.0,367.5000000000001,3401.0,0.65
